Identifiant marché,Catégorie,Logiciel,Critique
3,Système d'exploitation,Noyau CentOS,Non
4,Système d'exploitation,Noyau Debian,Non
5,Système d'exploitation,Noyau Ubuntu,Non
6,Système d'exploitation,Kali Linux,Non
7,Système d'exploitation,LVS (Linux Virtual Server) / Ipvsadm,Oui
8,Système d'exploitation,Keepalived,Oui
9,Système d'exploitation,heartbeat,Oui
10,Système d'exploitation,Ntp,Oui
11,Système d'exploitation,Drbd,Oui
12,Système d'exploitation,Linstor,Non
13,Système d'exploitation,Drbdlinks,Oui
14,Système d'exploitation,syslog-ng,Oui
15,Système d'exploitation,LVM,Oui
16,Système d'exploitation,logrotate,Oui
17,Système d'exploitation,Audit,Oui
18,Système d'exploitation,Cobbler,Oui
19,Système d'exploitation,Glibc,Oui
20,Système d'exploitation,Virt-manager,Oui
21,Système d'exploitation,Libvirt,Oui
22,Système d'exploitation,Puppet,Oui
23,Système d'exploitation,Ansible,Non
24,Système d'exploitation,AWX,Non
25,Système d'exploitation,Func,Oui
26,Système d'exploitation,rsyslog,Oui
27,Système d'exploitation,Grafana,Oui
28,Système d'exploitation,Grafana Loki,Oui
29,Système d'exploitation,Proxmox VE,Oui
30,Système d'exploitation,Proxmox backup server,Oui
31,Système d'exploitation,Kubernetes,Oui
32,Système d'exploitation,Rancher,Oui
33,Système d'exploitation,TrueNAS CORE,Non
35,"Infrastructure (proxies, annuaires, DNS)",OpenLDAP,Oui
36,"Infrastructure (proxies, annuaires, DNS)",Apache Directory,Non
37,"Infrastructure (proxies, annuaires, DNS)",LemonLDAP::NG,Oui
38,"Infrastructure (proxies, annuaires, DNS)",nss_ldap,Oui
39,"Infrastructure (proxies, annuaires, DNS)",389 Directory Server,Oui
40,"Infrastructure (proxies, annuaires, DNS)",Freeradius,Oui
41,"Infrastructure (proxies, annuaires, DNS)",ISC BIND,Oui
42,"Infrastructure (proxies, annuaires, DNS)",ISC DHCP,Oui
43,"Infrastructure (proxies, annuaires, DNS)",Varnish,Oui
44,"Infrastructure (proxies, annuaires, DNS)",SQUID,Oui
45,"Infrastructure (proxies, annuaires, DNS)",SQUIDGUARD,Oui
46,"Infrastructure (proxies, annuaires, DNS)",Bacula,Oui
47,"Infrastructure (proxies, annuaires, DNS)",OpenNebula,Oui
48,"Infrastructure (proxies, annuaires, DNS)",HAProxy,Oui
49,"Infrastructure (proxies, annuaires, DNS)",Keycloak,Oui
50,"Infrastructure (proxies, annuaires, DNS)",CUPS,Non
52,Messagerie,Amavisd-new,Oui
53,Messagerie,Postgrey,Oui
54,Messagerie,Pflogsumm,Oui
55,Messagerie,Cyrus IMAP,Oui
56,Messagerie,Sendmail,Non
57,Messagerie,Spamassassin,Oui
58,Messagerie,rspamd,Oui
59,Messagerie,Postfix,Oui
60,Messagerie,Postfwd,Non
61,Messagerie,OpenDKIM,Oui
62,Messagerie,OpenDMARC,Oui
63,Messagerie,pyspf,Oui
64,Messagerie,Horde,Oui
65,Messagerie,OpenFire (anciennement Wildfire),Oui
66,Messagerie,Maarch Courrier,Non
67,Messagerie,Maarch RM,Non
68,Messagerie,Nats.io,Non
70,Serveurs de fichier,Samba,Oui
71,Serveurs de fichier,MIT Kerberos,Oui
72,Serveurs de fichier,rsync,Oui
73,Serveurs de fichier,Putty,Oui
74,Serveurs de fichier,WinSCP3,Oui
75,Serveurs de fichier,vsftpd,Oui
76,Serveurs de fichier,NFS,Oui
77,Serveurs de fichier,GFS2,Oui
78,Serveurs de fichier,Filezilla serveur,Oui
79,Serveurs de fichier,Filezilla client,Oui
80,Serveurs de fichier,Prodftpd,Non
81,Serveurs de fichier,MinIO,Oui
83,Serveurs d'applications,Tomcat,Oui
84,Serveurs d'applications,JBoss,Oui
